System log for account marc.landolt@yetnet.ch (msn) connected at 23.03.2007 16::57::53
---- +++ marc.landolt@yetnet.ch hat sich angemeldet @ 2007-03-23 16:57:53 ----
---- Sonja hat den Status von Offline zu Abwesend geändert @ 2007-03-23 16:57:53 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-23 17:00:21 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-23 17:34:56 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-23 18:37:06 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-23 18:47:33 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch hat sich abgemeldet @ 2007-03-24 13:44:39 ----
